decision_id,decision,context,options_considered,chosen_option,outcome,category
adr_001,Architecture decision #1 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Exceeded expectations,data
adr_002,Architecture decision #2 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Exceeded expectations,training
adr_003,Architecture decision #3 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),A,Exceeded expectations,data
adr_004,Architecture decision #4 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),A,Exceeded expectations,testing
adr_005,Architecture decision #5 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Required iteration,organization
adr_006,Architecture decision #6 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Successful deployment,serving
adr_007,Architecture decision #7 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),A,Successful deployment,testing
adr_008,Architecture decision #8 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),A,Exceeded expectations,training
adr_009,Architecture decision #9 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Successful deployment,testing
adr_010,Architecture decision #10 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Exceeded expectations,monitoring
adr_011,Architecture decision #11 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Exceeded expectations,training
adr_012,Architecture decision #12 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Exceeded expectations,monitoring
adr_013,Architecture decision #13 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Successful deployment,monitoring
adr_014,Architecture decision #14 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Required iteration,organization
adr_015,Architecture decision #15 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Required iteration,data
adr_016,Architecture decision #16 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Required iteration,serving
adr_017,Architecture decision #17 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Successful deployment,testing
adr_018,Architecture decision #18 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),A,Successful deployment,serving
adr_019,Architecture decision #19 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Exceeded expectations,organization
adr_020,Architecture decision #20 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Exceeded expectations,serving
adr_021,Architecture decision #21 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Required iteration,monitoring
adr_022,Architecture decision #22 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Required iteration,serving
adr_023,Architecture decision #23 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Required iteration,testing
adr_024,Architecture decision #24 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Successful deployment,data
adr_025,Architecture decision #25 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),A,Successful deployment,serving
adr_026,Architecture decision #26 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Exceeded expectations,organization
adr_027,Architecture decision #27 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Exceeded expectations,monitoring
adr_028,Architecture decision #28 for production ML system,Enterprise environment with medium traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),B,Required iteration,monitoring
adr_029,Architecture decision #29 for production ML system,Enterprise environment with high traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Successful deployment,monitoring
adr_030,Architecture decision #30 for production ML system,Enterprise environment with low traffic requirements,Option A (simpler) vs Option B (more robust) vs Option C (most scalable),C,Exceeded expectations,monitoring
