problem_id,title,title_slug,difficulty,acceptance_rate,likes,dislikes,is_paid_only,topic_tags
1,Two Sum,two-sum,Easy,57.70350493538261,69165,2579,False,"Array, Hash Table"
2,Add Two Numbers,add-two-numbers,Medium,48.71669360068033,36981,7272,False,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,39.320672303035046,45262,2224,False,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,46.85888994939445,32382,3590,False,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,38.06520115749054,32807,2020,False,"Two Pointers, String, Dynamic Programming"
6,Zigzag Conversion,zigzag-conversion,Medium,54.398773862954286,9439,15971,False,String
7,Reverse Integer,reverse-integer,Medium,32.05664532724371,15659,14017,False,Math
8,String to Integer (atoi),string-to-integer-atoi,Medium,21.200574213506208,6327,15706,False,String
9,Palindrome Number,palindrome-number,Easy,60.66968850181881,16060,2941,False,Math
10,Regular Expression Matching,regular-expression-matching,Hard,31.14338041249809,13403,2408,False,"String, Dynamic Programming, Recursion"
11,Container With Most Water,container-with-most-water,Medium,60.259444239162264,34550,2221,False,"Array, Two Pointers, Greedy"
12,Integer to Roman,integer-to-roman,Medium,71.1944417766172,8620,5730,False,"Hash Table, Math, String"
13,Roman to Integer,roman-to-integer,Easy,66.78101770534323,17865,1246,False,"Hash Table, Math, String"
14,Longest Common Prefix,longest-common-prefix,Easy,47.796978991895806,21561,4946,False,"Array, String, Trie"
15,3Sum,3sum,Medium,39.31826266569421,35853,3301,False,"Array, Two Pointers, Sorting"
16,3Sum Closest,3sum-closest,Medium,48.777042618215695,11731,622,False,"Array, Two Pointers, Sorting"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,66.2957462914942,21122,1138,False,"Hash Table, String, Backtracking"
18,4Sum,4sum,Medium,40.92838023567058,12988,1544,False,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,51.906582222087515,21399,915,False,"Linked List, Two Pointers"
20,Valid Parentheses,valid-parentheses,Easy,44.380377608712465,28143,2014,False,"String, Stack"
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,68.46386372469621,25139,2451,False,"Linked List, Recursion"
22,Generate Parentheses,generate-parentheses,Medium,78.82159975117699,23403,1088,False,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,59.83913092775847,21425,796,False,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,69.7443922610968,13240,519,False,"Linked List, Recursion"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,66.44623027469316,15796,809,False,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,63.10136490268534,19369,20564,False,"Array, Two Pointers"
27,Remove Element,remove-element,Easy,61.98748620906418,5232,5388,False,"Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,46.84003762257436,7716,588,False,"Two Pointers, String, String Matching"
29,Divide Two Integers,divide-two-integers,Medium,19.95115182198261,6184,15292,False,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,34.601982800113554,2701,442,False,"Hash Table, String, Sliding Window"
31,Next Permutation,next-permutation,Medium,45.535581232036016,21578,5130,False,"Array, Two Pointers"
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,39.04200421850114,13380,468,False,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,45.11342884101356,30419,1838,False,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,49.14213583736823,23469,654,False,"Array, Binary Search"
35,Search Insert Position,search-insert-position,Easy,51.537012304630416,18955,903,False,"Array, Binary Search"
36,Valid Sudoku,valid-sudoku,Medium,64.67474829906394,12584,1270,False,"Array, Hash Table, Matrix"
37,Sudoku Solver,sudoku-solver,Hard,65.59194660053761,11212,348,False,"Array, Hash Table, Backtracking, Matrix"
38,Count and Say,count-and-say,Medium,63.15018177336328,5163,9114,False,String
39,Combination Sum,combination-sum,Medium,76.72028421885764,21136,544,False,"Array, Backtracking"
40,Combination Sum II,combination-sum-ii,Medium,59.64223742394662,12359,392,False,"Array, Backtracking"
41,First Missing Positive,first-missing-positive,Hard,43.13177288701749,18521,1985,False,"Array, Hash Table"
42,Trapping Rain Water,trapping-rain-water,Hard,67.63543230709949,36673,707,False,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
43,Multiply Strings,multiply-strings,Medium,44.3497642373405,7789,3697,False,"Math, String, Simulation"
